Type,Source,Text
Excessive heading,EPA12,18. EPA admits the allegations in paragraph 18. Legal framework
Excessive heading,EPA12,"38. The allegations in paragraph 38 characterize the Toxic Substances Control Act, which speaks for itself and is the best evidence of its content. To the extent the allegations are inconsistent with the Act, EPA denies them. Factual background"
Excessive heading,EJ56,63. The allegations of all foregoing paragraphs are hereby incorporated as if set forth fully herein. Violations of § 7429(b)(3) of the Clean Air Act
Excessive heading,EPA78,"10. In response to paragraph 10, EPA incorporates paragraph 9 from the original answer. Jurisdiction and venue"
Excessive heading,EPA78,"13. In response to paragraph 13, EPA incorporates paragraph 12 from the original answer. Parties"
Excessive heading,EPA78,"19. In response to paragraph 19, EPA incorporates paragraph 18 from the original answer. Legal framework"
Excessive heading,EPA78,"39. In response to paragraph 39, EPA incorporates paragraph 38 from the original answer. Factual background"
Grouped Response,EPA34,"59. The allegations in Paragraph 59 state a legal conclusion to which no response is required. Paragraphs 60-64 consist of Plaintiffs’ request for relief, to which no response is required. To the extent a response is required, Defendants deny that Plaintiffs are entitled to any relief. To the extent that any allegation is not specifically addressed in the preceding paragraphs, Defendants deny that allegation. FIRST DEFENSE The Court lacks subject matter jurisdiction over one or more of Plaintiffs’ claims. One or more of Plaintiffs’ claims fails to state a claim upon which relief can be granted. Defendants may have additional defenses which are not known at this time but which may become known as Plaintiffs clarify their claims. Accordingly, Defendants reserve the right to assert each and every affirmative or other defense that may be available, including any defenses available under Federal Rules of Civil Procedure 8 or 12, once the precise nature of the claims or events is ascertained in the future. Dated: July 28, 2017"
Heading Parse,EJ12,"83. But Plaintiffs’ efforts have been unlawfully stymied by EPA’s black-box approach in which: EPA fails to timely notify the public when a PMN has been received; fails to timely disclose the complete PMN application, including all supporting documents, to interested members of the public; and abets manufacturers’ attempts to withhold information as confidential that is not entitled to confidential treatment under TSCA. In doing so, EPA repeatedly violates TSCA’s numerous disclosure requirements, thereby denying Plaintiffs information to which they are legally entitled. A. EPA does not timely notify the public when it receives an application to manufacture a new chemical, and the belated notices EPA provides are incomplete"
Heading Parse,EJ12,"90. Similarly, EPA fails to timely publish notices of receipt of test marketing exemption applications. EPA must publish a notice of receipt of a test marketing exemption application “[i]mmediately upon receipt,” 15 U.S.C. § 2604(h)(6), but for each test marketing exemption application received since the enactment of the 2016 TSCA Amendments, EPA failed to timely publish notice of its receipt. See Table 3. Instead, EPA took an average of 97 days to publish the mandated notice, if it published the notice at all. Id. Given that EPA only has 45 days to approve the test marketing exemption application, EPA’s lack of timely notice means that the public cannot comment on these applications. B."
Heading Parse,EJ12,"123. Such failures by EPA are not isolated: in Table 7, Plaintiffs identify 94 PMNs where EPA failed to provide Plaintiffs with all versions of the PMN application; and in Table 8, 160 PMNs where EPA failed to provide Plaintiffs with any correspondence from the PMN submitter. EPA’s failures to disclose these materials violates its duties to disclose all non- confidential material in the public file that it makes available to interested persons. 15 U.S.C. §§ 2604(d)(3), 2613; 40 C.F.R. § 720.95.3. EPA withholds other information that does not meet the statutory standard for confidentiality"
Heading Parse,EJ78,"85. But Plaintiffs’ efforts have been unlawfully stymied by EPA’s black-box approach in which: EPA fails to timely notify the public when a PMN has been received; fails to timely disclose the complete PMN application, including all supporting documents, to interested members of the public; and discloses incomplete PMN applications, thereby abetting manufacturers’ attempts to withhold information as confidential that is not entitled to confidential treatment under TSCA. In doing so, EPA repeatedly violates TSCA’s numerous disclosure requirements, thereby denying Plaintiffs information to which they are legally entitled. A. EPA does not timely notify the public when it receives an application to manufacture a new chemical, and the belated notices EPA provides are incomplete"
Heading Parse,EJ78,"96. Instead, EPA took an average of 97 days to publish the mandated notice, if it published the notice at all. Id. Given that TSCA only gives EPA 45 days to approve a test marketing exemption application, EPA’s lack of timely notice means that the public cannot comment on these applications. B."
Heading Parse,EJ78,"108. In withholding this information, EPA significantly impairs the public’s ability to understand the potential dangers posed by new chemicals undergoing EPA review.1. EPA hides information from health and safety studies, including safety data sheets"
Heading Parse,EJ78,"118. But without the health and safety information that is submitted with the PMN, the public is left in the dark, with little-to-no ability to comment on the application before EPA makes a determination, to understand the basis for EPA’s decision, or to assess its validity.2. EPA also hides other information relevant to the potential risks presented by new chemicals"
Heading Parse,EJ78,"131. Such failures by EPA are not isolated. In Table 7, Plaintiffs identify 94 PMNs where EPA made the public file for the PMN available to Plaintiffs, but the file did not include all versions of the PMN application. Additionally, in Table 8, Plaintiffs identify 160 PMNs where EPA made the public file for the PMN available to Plaintiffs, but the file did not include any correspondence from the PMN submitter. EPA’s failures to disclose these materials violates its duties to disclose all non-confidential material in the public file that it makes available to interested persons. 15 U.S.C. §§ 2604(d)(3), 2613; 40 C.F.R. § 720.95.3. EPA withholds other information that does not meet the statutory standard for protection as confidential"
Missing Character(s),EJ34,60. Declare that EPA’s approval of Virginia’s list of impaired waters is unlawful and arbitrary for the reasons alleged herein
Missing Character(s),EJ78,125. Such failures hinder Plaintiffs’ ability to have an informed understanding of: their members’ potential exposure to the chemical under review
Missing Text,EJ12,117. Such failures hinder Plaintiffs’ ability to have an informed understanding of: their members’ potential exposure to the chemical under review
Missing Text,EPA12,(117) the potential risks posed by the chemical
Pagebreak parse,EJ56,"7. Defendant Gina McCarthy is the Administrator of the EPA. In that role, she is charged with the duty to uphold the Clean Air Act and to take required regulatory actions according to the schedules established therein. 3 LEGAL FRAMEWORK"
Pagebreak parse,EJ56,"46. a. Commercial and Industrial Solid Waste Incineration Units—Federal Plan Some states have submitted neither an approvable SIP nor a negative declaration since the CISWI standards were promulgated on March 11, 2011. b. More than two years have passed since the Administrator promulgated the 2011 CISWI standards. c. The Administrator has not promulgated a federal implementation plan for CISWI units based on the 2011 CISWI standards. The current federal implementation plan for CISWI units was promulgated in 2003, to implement standards promulgated on December 1, 2000. See 68 Fed. Reg. 57,518 (Oct. 3, 2003), codified at 40 C.F.R. pt. 62, subpt. III. d. The Administrator has not published public notice of a proposed rule, and has not accepted comments, data, or argument on a proposed rule, nor has she responded to significant comments or new data, or issued a statement of basis and purpose for a final rule for the federal plan required by § 7429(b)(3) for CISWI units. 14"
Pagebreak parse,EJ56,"48. a. Other Categories of Solid Waste Incineration Units—Review and Revise More than five years have passed since the Administrator promulgated the OSWI standards on December 16, 2005. b. The Administrator has not yet reviewed or revised the OSWI standards pursuant to § 7429(a)(5). c. The Administrator has not published public notice of a proposed rule, and has not accepted comments, data, or argument on a proposed rule, nor has she responded to significant comments or new data, or issued a statement of basis and purpose for a final rule for revisions process required by § 7429(a)(5) for OSWI units. 15 ALLEGATIONS OF INJURY"
Pagebreak parse,EJ56,60. Taking the actions required by § 7429(b)(3) and § 7429(a)(5) would provide Plaintiff and its members with the information described above. See also 42 U.S.C. § 7607(d)(3)-(6). 19
Pagebreak parse,EJ56,"66. Each day the Administrator fails to take these legally required actions, Defendant commits new, additional, and ongoing violations of its duties under § 7429(b)(3). 20 Violations of § 7429(a)(5) of the Clean Air Act"
Pagenum Parse,EJ56,"18. Section 7429 also requires that emissions standards for every category be periodically reviewed and revised. Specifically, “[n]ot later than 5 years following the initial promulgation of any performance standards and other requirements … applicable to a category of solid waste incineration units,” and, additionally, “at 5 year intervals thereafter,” the Administrator “shall review, and in accordance with [§ 7429 and §] 7411 … revise such standards and requirements.” Id. § 7429(a)(5). This applies both to new source performance standards and to existing source emission guidelines. Id. 6"
Parse Error,EJ34,62
Parse Error,EJ34,63
Parse Error,EPA56,2. PARSE ERROR
Parse Error,EPA56,"3. Paragraph 2 characterizes Plaintiff’s claim, and so requires no response. The first sentence of Paragraph 3 characterizes Plaintiff’s claim, and so requires no response. The second, third, and fourth sentences of Paragraph 3 are conclusions of law and so require no response."
Parse Error,EPA56,4. PARSE ERROR
Parse Error,EPA56,11. PARSE ERROR
Parse Error,EPA56,12. PARSE ERROR
Parse Error,EPA56,13. PARSE ERROR
Parse Error,EPA56,14. PARSE ERROR
Parse Error,EPA56,15. PARSE ERROR
Parse Error,EPA56,18. PARSE ERROR
Parse Error,EPA56,19. PARSE ERROR
Parse Error,EPA56,25. PARSE ERROR
Parse Error,EPA56,47. PARSE ERROR
Parse Error,EPA56,48. PARSE ERROR
Parse Error,EPA56,58. PARSE ERROR
Parsed Count,EJ12,"135. In granting confidential treatment to information that is ineligible and thereby failing to disclose such information to the public, EPA fails to fulfill its duties to disclose the PMN and all supporting information to the public and aids submitters’ efforts to hide relevant information about new chemicals, including crucial health and safety information, from the public. Count I: Violations of duty to timely publish notices of receipt of PMNs"
Parsed Count,EJ12,"138. EPA’s failures to comply with the notice requirements of 15 U.S.C. § 2604(d)(2) for the PMNs contained in Table 1: (1) constitute violations of TSCA, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by, 15 U.S.C. § 2604(d)(2). Count II: Violations of duty to publish complete notices of receipt of PMNs"
Parsed Count,EJ12,"141. The failures by EPA to comply with the notice requirements of 15 U.S.C. § 2604(d)(2)(C) and 40 C.F.R. § 720.70(b)(3) for the PMNs contained in Table 2: (1) constitute violations of TSCA or a rule promulgated under § 2604 within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(d)(2)(C) and 40 C.F.R. § 720.70(b)(3). Count III: Violations of duty to publish notice of receipt of an application for a test marketing exemption"
Parsed Count,EJ12,"144. EPA’s failures to comply with the “immediate[]” notice requirements of 15 U.S.C. § 2604(h)(6) and 40 C.F.R. § 720.38(c) for the test marketing exemptions listed in Table 3: (1) constitute violations of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(h)(6) and 40 C.F.R. § 720.38(c). Count IV: Violations of duty to make PMNs publicly available online at regulations.gov"
Parsed Count,EJ12,"146. For each PMN cited in Table 4, EPA violated its duty to make complete PMN public files available in an electronic docket at http://www.regulations.gov, as required by 15 U.S.C. § 2604(d)(1), (b)(3) and 40 C.F.R. § 700.17(b)(1), 720.95, which (1) constitutes a violation of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute a failure of “[EPA] to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. §§ 700.17(b)(1), 720.95. Count V: Violations of duty to make health and safety studies available for examination by interested persons"
Parsed Count,EJ12,"151. On information and belief: for the PMNs identified in Table 4, EPA provided public files to the Plaintiffs that failed to include health and safety studies submitted by the manufacturers. For each such file, EPA failed to comply with 15 U.S.C. §§ 2604(d)(1), 2613 and 40 C.F.R. §§ 720.90, 720.95, which: (1) constitutes a violation of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitutes a failure of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) further establishes EPA’s pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. §§ 2604(d)(1), 2613 and 40 C.F.R. §§ 720.90, 720.95. Count VI: Violations of duty to make safety data sheets available for examination by interested persons"
Parsed Count,EJ12,"153. For the PMNs in Table 6, EPA unlawfully withheld the safety data sheet, in whole or in part, from the public files made available for examination by the Plaintiffs. EPA’s failures to disclose the safety data sheet to Plaintiffs are failures to comply with 15 U.S.C. §§ 2604(d)(1), 2613 and 40 C.F.R. §§ 720.90, 720.95, which: (1) constitute violations of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. §§ 2604(d)(1), 2613 and 40 C.F.R. §§ 720.90, 720.95. Count VII: Violations of duty to make all versions of PMN available for examination by interested persons"
Parsed Count,EJ12,"155. For the PMNs identified in Table 7, EPA provided incomplete public files that contained fewer versions of the PMN and its supporting documentation than appear to have been submitted. Thus, EPA failed to make available for examination all versions of the PMN or supporting documents, as required by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95. The failures by EPA to comply with 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95 for the PMNs in Table 7: (1) constitute violations of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to comply with the nondiscretionary duties established by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95. Count VIII: Violations of duty to make correspondence related to PMNs available for examination by interested persons"
Parsed Count,EJ12,"157. On information and belief, for each PMN identified in Table 8, EPA received correspondence supporting the PMN that EPA failed to make available when it provided public files to the Plaintiffs, as required by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95, which: (1) constitutes a violation of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitutes a failure of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establishes that EPA has a pattern or practice of violating the requirements of, and failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95. Count IX: Violations of duty to make substantiation documents available for examination by interested persons"
Parsed Count,EJ12,"162. On information and belief, the manufacturer submitted a substantiation document for some PMNs contained in Table 9, and EPA’s failures to disclose the substantiation documents for those PMNs to Plaintiffs are failures to comply with 15 U.S.C. §§ 2604(d)(1), 2613 and 40 C.F.R. § 720.95, which: (1) constitute violations of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitute failures of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (3) establish that EPA has a pattern or practice of violating the requirements of, and failing to comply with the nondiscretionary duties established by 15 U.S.C. § 2604(d)(1) and 40 C.F.R. § 720.95. Count X: Violations of duty to disclose information where the manufacturer has asserted it is confidential under the § 2613(c)(2) exemptions but the information facially does not qualify under any of the exemptions"
Parsed Count,EPA12,135. The allegations in paragraph 135 state legal conclusions that require no response. Claims for relief Count I
Parsed Count,EPA12,138. The allegations in paragraph 138 state legal conclusions that require no response. Count II
Parsed Count,EPA12,141. The allegations in paragraph 141 state legal conclusions that require no response. Count III
Parsed Count,EPA12,144. The allegations in paragraph 144 state legal conclusions that require no response. Count IV
Parsed Count,EPA12,146. The allegations in paragraph 146 state legal conclusions that require no response. Count V
Parsed Count,EPA12,"151. The allegations in the first sentence of paragraph 151 characterize the public files of PMNs listed in table 4 of the complaint, which speak for themselves and are the best evidence of their content. To the extent the allegations are inconsistent with the files, EPA denies them. The remaining allegations state legal conclusions that require no response. Count VI"
Parsed Count,EPA12,153. The allegations in paragraph 153 state legal conclusions that require no response. Count VII
Parsed Count,EPA12,"155. The allegations in the first sentence of paragraph 155 consist of vague and ambiguous characterizations, and EPA lacks sufficient information to admit or deny them. The remaining allegations state legal conclusions that require no response. Count VIII"
Parsed Count,EPA12,157. The allegations in paragraph 157 state legal conclusions that require no response. Count IX
Parsed Count,EPA12,162. The allegations in paragraph 162 state legal conclusions that require no response. Count X
Parsed Count,EJ78,"143. In granting confidential treatment to information that is ineligible and thereby failing to disclose such information to the public, EPA fails to fulfill its duties to disclose the PMN and all supporting information to the public and aids submitters’ efforts to hide relevant information about new chemicals, including crucial health and safety information, from the public. Count I: Violations of duty to timely publish notices of receipt of PMNs"
Parsed Count,EJ78,"150. For each of the PMNs identified in the first column of Table 1, EPA’s failure to comply with the notice requirements of 15 U.S.C. § 2604(d)(2) constitutes a failure of “the Administrator to perform any act or duty which is not discretionary.” 15 U.S.C. § 2619(a)(2). These failures establish that EPA has a pattern or practice of failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(d)(2). Count II: Violations of duty to publish complete notices of receipt of PMNs"
Parsed Count,EJ78,"157. For each of the PMNs identified in Table 2, the failure by EPA to include a list or description of test data from the notice of receipt of the PMN constitutes a failure of “the Administrator to perform any act or duty under this chapter which is not discretionary.” 15 U.S.C. § 2619(a)(2). These failures establish that EPA has a pattern or practice of failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(d)(2)(C) and 40 C.F.R. § 720.70(b)(3). Count III: Violations of duty to publish notice of receipt of an application for a test marketing exemption"
Parsed Count,EJ78,"166. For each of the PMNs identified in the first column of Table 1, EPA’s failure to comply with the notice requirements of 15 U.S.C. § 2604(h)(6) and 40 C.F.R. § 720.38(c) constitutes a failure of “the Administrator to perform any act or duty which is not discretionary.” 15 U.S.C. § 2619(a)(2). These failures establish that EPA has a pattern or practice of failing to fulfill the nondiscretionary duties established by 15 U.S.C. § 2604(h)(6) and 40 C.F.R. § 720.38(c). Count IV: Failure to make PMNs publicly available online at regulations.gov"
Parsed Count,EJ78,"171. For each of the PMNs identified in the first column of Table 4, EPA’s failure to make the public file for the PMN available in an electronic docket at http://www.regulations.gov represents action unlawfully withheld and unreasonably delayed agency action. 5 U.S.C. § 706(1). These failures establish that EPA has a pattern or practice of unlawfully withholding and unreasonably delaying agency action. Count V: Violations of duty to make health and safety studies available for examination by interested persons"
Parsed Count,EJ78,"185. On information and belief: for each of the PMNs identified in the first column of Table 4, EPA provided the public file for the PMN to Plaintiffs but redacted or withheld health and safety studies submitted by the manufacturer of the chemical. For each such PMN, EPA did not comply with 15 U.S.C. §§ 2604(d)(1), 2613, and 40 C.F.R. § 720.90, 720.95, which: (1) constitutes a violation of TSCA or a rule promulgated under § 2604, within the meaning of 15 U.S.C. § 2619(a)(1); (2) constitutes an action that was arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law, within the meaning of 5 U.S.C. § 706(2); (3) constitutes a failure of “the Administrator to perform any act or duty under this chapter which is not discretionary,” 15 U.S.C. § 2619(a)(2); and (4) constitutes agency action unlawfully withheld and unreasonably delayed. This further establishes EPA’s pattern or practice of unlawful behavior. Count VI: Violations of duty to make safety data sheets available for examination by interested persons"
Parsed Count,EJ78,"196. For each of the PMNs identified in the first column of Table 6, when EPA made the public file for the PMN available to Plaintiffs but failed to provide the safety data sheet submitted with the PMN, EPA unlawfully withheld and unreasonably delayed agency action. 5 U.S.C. § 706(1). These failures establish that EPA has a pattern or practice of unlawfully withholding and unreasonably delaying agency action. Count VII: Violations of duty to make all versions of PMN available for examination by interested persons"
Parsed Count,EJ78,"207. For each of the PMNs identified in the first column of Table 7, when EPA made the public file for the PMN available to Plaintiffs but failed to provide all versions of the PMN and supporting documents, EPA unlawfully withheld and unreasonably delayed agency action. 5 U.S.C. § 706(1). These failures establish that EPA has a pattern or practice of unlawfully withholding and unreasonably delaying agency action. Count VIII: Violations of duty to make correspondence related to PMNs available for examination by interested persons"
Parsed Count,EJ78,"218. For each of the PMNs in the first column of Table 8, when EPA made the public file for the PMN available to Plaintiffs but failed to provide correspondence submitted in support of the PMN, EPA unlawfully withheld and unreasonably delayed agency action. 5 U.S.C. § 706(1). These failures establish that EPA has a pattern or practice of unlawfully withholding and unreasonably delaying agency action. Count IX: Violations of duty to make substantiation documents available for examination by interested persons"
Parsed Count,EJ78,"227. For each of the PMNs in the first column of Table 9, when EPA made the public file for the PMN available to Plaintiffs but failed to make available all information submitted in the PMN or in support of the PMN, EPA unlawfully withheld and unreasonably delayed agency action. 5 U.S.C. § 706(1). These failures establish that EPA has a pattern or practice of unlawfully withholding and unreasonably delaying agency action. Count X: Violations of duty to disclose information where the manufacturer has asserted it is confidential under the § 2613(c)(2) exemptions but the information facially does not qualify under any of the exemptions"
Parsed Count,EPA78,"143. In granting confidential treatment to information that is ineligible and thereby failing to disclose such information to the public, EPA fails to fulfill its duties to disclose the PMN and all supporting information to the public and aids submitters’ efforts to hide relevant information about new chemicals, including crucial health and safety information, from the public. Count I: Violations of duty to timely publish notices of receipt of PMNs"
Parsed Count,EPA78,150. The allegations in paragraph 150 state legal conclusions that require no response. Count II
Parsed Count,EPA78,157. The allegations in paragraph 157 state legal conclusions that require no response. Count III
Parsed Count,EPA78,166. The allegations in paragraph 166 state legal conclusions that require no response. Count IV
Parsed Count,EPA78,171. The allegations in paragraph 171 state legal conclusions that require no response. Count V
Parsed Count,EPA78,"185. The allegations in the first sentence of paragraph 185 characterize the public files of PMNs listed in Table 4, which speak for themselves and are the best evidence of their content. To the extent the allegations are inconsistent with the files, EPA denies them. The remaining allegations state legal conclusions that require no response. Count VI"
Parsed Count,EPA78,196. The allegations in paragraph 196 state legal conclusions that require no response. Count VII
Parsed Count,EPA78,207. The allegations in paragraph 207 state legal conclusions that require no response. Count VIII
Parsed Count,EPA78,218. The allegations in paragraph 218 state legal conclusions that require no response. Count IX
Parsed Count,EPA78,227. The allegations in paragraph 227 state legal conclusions that require no response. Count X
Preceding Data,EPA56,"5. EPA admits the allegations in Paragraph 4. EPA states that the current EPA Administrator, Scott Pruitt, resides within the jurisdiction of this court, and was substituted as the Defendant in this case under Federal Rule of Civil Procedure 25(d). The remainder of Paragraph 5 is a conclusion of law and so requires no response."
Preceding Data,EPA56,"16. Paragraph 11 states conclusions of law and so requires no response. Paragraph 12 states conclusions of law, and so requires no response. Paragraph 13 states conclusions of law, and so requires no response. Paragraph 14 states conclusions of law, and so requires no response. Paragraph 15 states conclusions of law, and so requires no response. Paragraph 16 states conclusions of law, and so requires no response."
Preceding Data,EPA56,20. Paragraph 18 states conclusions of law and so requires no response. Paragraph 19 states conclusions of law and so require no response. The second sentence of Paragraph 20 characterizes a federal statute which is the best evidence of its content. EPA denies the allegations in the second sentence of Paragraph 20 to the extent they are inconsistent with the Clean Air Act. The remaining sentences of Paragraph 20 are conclusions of law and so require no response.
Preceding Data,EPA56,"26. EPA admits the allegations in Paragraph 25. Paragraph 26 characterizes a legal decision and a federal regulation, which are the best evidence of their contents. EPA denies the allegations of Paragraph 26 to the extent they are inconsistent therewith."
Preceding Data,EPA56,49. EPA admits the allegations in Paragraph 47. EPA admits the allegations in Paragraph 48. EPA is without knowledge to admit or deny the allegations in Paragraph 49 and so denies the same.
Preceding Data,EPA56,59. Paragraph 58 states conclusions of law and so requires no response. EPA is without knowledge to admit or deny the allegations in the first three sentences of Paragraph 59 and so denies the same. EPA denies the allegations in the last two sentences of Paragraph 59.
Valid for some reason,EPA56,17. Paragraph 17 states conclusions of law and so requires no response.
Valid w/o period,EJ56,"45. The Administrator was required to take final action to fulfill her § 7429(a)(5) duty to review and revise EPA’s OSWI standards by no later than December 16, 2010. Id. § 7429(a)(5)"
WTF,EJ78,125. Such failures hinder Plaintiffs’ ability to have an informed understanding of: their members’ potential exposure to the chemical under review
WTF,EPA78,"Extra colums…125. In response to paragraph 125, EPA incorporates paragraph 117 from the original answer. "
